team,bestScore,worstScore,totalScore,bestPoints,worstPoints,totalPoints,streak,beststreak,homeWins,homeLosses,homeTies,awayWins,awayLosses,awayTies,totalWins,totalLosses,totalTies
Beauvais Oise,50,20,316,61,37,382,3,4,60,41,59,28,73,59,88,114,118
Bourges 18,46,46,46,42,42,42,2,2,8,5,8,2,15,4,10,20,12
Charleville,45,34,157,56,48,205,1,3,28,21,35,18,34,32,46,55,67
Dunkerque,44,26,142,60,34,192,1,5,31,17,30,14,38,27,45,55,57
FC Mulhouse,51,44,244,54,41,248,3,4,47,20,38,14,64,27,61,84,65
FC Rouen 1899,45,27,72,52,29,81,1,2,14,15,11,6,24,10,20,39,21
Niort,58,30,945,65,26,1088,2,5,172,100,167,86,206,147,258,306,314
Olympique Alès,47,29,120,54,25,132,1,2,19,12,32,10,40,13,29,52,45
Red Star,61,28,432,70,30,480,1,5,79,49,53,45,81,55,124,130,108
Stade Briochin,53,32,123,65,38,146,2,3,28,18,17,10,38,15,38,56,32
Stade Lavallois,56,33,919,69,30,1024,1,4,182,101,126,70,197,142,252,298,268
Valence,51,34,387,58,33,426,2,3,75,43,63,25,93,63,100,136,126
Perpignan,44,35,117,61,44,156,3,4,26,12,25,11,32,20,37,44,45
CS Louhans Cuiseaux,57,32,169,58,24,182,1,2,35,25,22,12,51,19,47,76,41
Stade Poitevin,36,36,36,46,46,46,2,2,8,4,9,1,10,10,9,14,19
Épinal,42,26,68,48,26,74,1,2,14,15,13,2,27,13,16,42,26
ES Wasquehal,49,26,223,51,36,264,3,4,44,28,44,18,64,34,62,92,78
Creteil,57,33,452,54,34,484,2,4,79,50,80,32,106,71,111,156,151
Clermont,56,31,777,63,38,893,4,4,145,83,105,79,139,116,224,222,221
Besancon RC,37,37,37,38,38,38,2,2,5,6,8,3,10,6,8,16,14
Sète,31,31,31,23,23,23,1,1,4,8,7,0,15,4,4,23,11
FC Libourne Saint Seurin,43,41,84,44,32,76,2,2,13,15,10,6,23,9,19,38,19
Tours,63,29,499,61,23,502,1,4,88,64,57,39,106,64,127,170,121
Vannes,40,34,113,51,44,141,4,4,21,15,21,16,32,9,37,47,30
CA Bastia,21,21,21,24,24,24,1,1,2,8,9,2,14,3,4,22,12
Orléans,52,21,201,52,19,199,1,6,29,33,28,22,50,18,51,83,46
Bourg-Péronnas,50,47,146,47,36,127,2,4,23,21,13,11,34,12,34,55,25
Paris FC,46,22,180,65,28,239,5,5,34,21,31,25,32,31,59,53,62
Quevilly,45,45,45,33,33,33,2,2,5,12,2,4,11,4,9,23,6
Béziers,33,33,33,38,38,38,1,1,3,7,9,6,11,2,9,18,11
Chambly,33,26,59,35,28,63,1,2,9,16,6,6,11,12,15,27,18
Rodez,32,31,63,38,32,70,2,2,12,9,9,4,13,13,16,22,22
Pau FC,32,32,32,35,35,35,2,2,7,5,4,2,10,4,9,15,8
Arsenal,87,40,2153,90,45,2275,3,13,394,76,142,259,180,174,653,256,316
Aston Villa,71,27,1352,74,17,1473,4,6,234,161,159,151,246,159,385,407,318
Chelsea,103,46,2055,95,49,2213,4,13,368,88,156,267,194,152,635,282,308
Everton,64,34,1601,72,39,1687,4,8,288,157,167,159,274,179,447,431,346
Liverpool,101,47,2114,99,52,2219,3,18,386,82,145,252,200,160,638,282,305
Man. Utd,97,46,2283,92,48,2483,4,11,422,69,121,312,141,160,734,210,281
Southampton,71,34,1193,63,32,1168,3,6,196,151,132,108,247,124,304,398,256
Tottenham Hotspur,86,44,1827,86,44,1864,4,10,322,146,144,198,254,160,520,400,304
Blackpool,55,55,55,39,39,39,4,4,5,9,5,5,10,4,10,19,9
Beira Mar SC,84,0,668,49,0,642,0,6,106,195,147,35,159,72,141,354,219
Belenenses,126,0,1198,126,23,1367,42,42,261,141,181,92,228,127,353,369,308
Benfica,103,45,2118,101,52,2286,6,16,387,40,99,303,106,117,690,146,216
Boavista,63,24,1140,90,25,1370,30,30,262,95,109,111,183,142,373,278,251
Chaves,102,0,693,102,0,642,0,34,113,89,160,32,127,47,145,216,207
Estrela Amadora,42,0,488,50,17,592,0,4,100,67,118,32,141,78,132,208,196
Feirense,68,0,382,90,0,464,0,30,107,97,89,13,55,15,120,152,104
Marítimo,56,22,1217,56,24,1397,2,5,264,121,141,108,278,140,372,399,281
Nacional,102,22,936,102,21,962,24,34,189,83,129,66,171,68,255,254,197
Penafiel,84,0,475,126,0,802,28,42,226,131,73,10,73,21,236,204,94
Portimonense,126,0,557,126,0,556,0,42,144,138,68,11,62,23,155,200,91
Porto,85,39,2175,98,60,2483,7,16,439,27,60,328,76,122,767,103,182
Sporting Braga,74,32,1436,75,36,1618,6,13,308,110,108,144,228,154,452,338,262
Sporting CP,79,35,1803,86,42,2119,6,11,370,60,96,255,123,148,625,183,244
Tirsense,39,21,152,48,31,197,2,3,41,19,27,7,54,26,48,73,53
União Madeira,90,0,385,126,29,490,42,42,108,26,110,12,72,20,120,98,130
Vitória Guimarães,60,28,1336,90,34,1557,30,30,287,129,125,148,236,127,435,365,252
Vitória Setúbal,102,21,1055,102,22,1137,34,34,231,150,115,69,237,122,300,387,237
Famalicão,76,26,271,114,27,345,38,38,78,26,34,17,57,26,95,83,60
Farense,72,24,637,138,22,830,24,46,210,49,64,28,139,52,238,188,116
Gil Vicente,90,23,1130,126,19,1379,42,42,334,105,139,54,202,76,388,307,215
SC Salgueiros,49,27,459,52,30,489,2,6,88,57,61,37,116,53,125,173,114
Estoril,136,0,749,102,0,836,28,34,198,86,102,32,90,44,230,176,146
Paços de Ferreira,68,27,880,102,24,989,34,34,179,101,142,72,188,94,251,289,236
Torreense,36,34,70,102,35,137,34,34,42,4,5,0,11,6,42,15,11
Espinho,102,27,337,102,0,240,0,34,46,48,76,6,20,8,52,68,84
União de Leiria,52,25,569,56,16,656,1,6,113,77,72,57,131,74,170,208,146
Campomaiorense,53,29,186,40,32,178,1,3,38,26,21,10,62,13,48,88,34
FC Felgueiras,68,0,131,102,0,135,0,34,40,142,5,2,11,4,42,153,9
Leça FC,68,0,159,38,0,176,0,3,20,52,81,8,32,11,28,84,92
Rio Ave,50,0,698,55,28,898,0,4,124,98,200,79,156,89,203,254,289
Académica,102,25,742,102,21,793,24,34,165,90,93,45,141,70,210,231,163
Varzim,114,0,539,114,0,553,28,38,154,161,68,4,36,11,158,197,79
Alverca,45,33,226,43,27,215,0,3,36,36,47,12,49,24,48,85,71
CD Santa Clara,102,0,574,126,0,805,42,42,171,108,205,21,53,24,192,161,229
Desportivo Aves,92,0,668,138,0,917,42,46,283,232,16,12,55,16,295,287,32
Moreirense,84,0,549,126,0,722,42,42,161,126,64,44,94,43,205,220,107
Naval,102,0,336,39,0,224,0,3,27,145,60,21,51,20,48,196,80
Leixões,126,0,468,126,21,640,0,42,160,14,123,9,26,10,169,40,133
Trofense,90,0,175,90,23,215,0,30,33,7,107,2,10,3,35,17,110
Olhanense,92,21,476,138,0,527,0,46,129,71,73,13,34,28,142,105,101
Arouca,47,26,134,54,28,145,2,3,24,29,13,13,32,21,37,61,34
Tondela,84,25,329,138,28,379,46,46,78,46,62,20,55,23,98,101,85
Athletic,72,37,1564,70,37,1683,1,5,303,142,163,147,291,170,450,433,333
Atlético,80,40,1904,90,38,2079,5,9,370,103,139,222,226,164,592,329,303
Barcelona,116,60,2778,100,56,2575,7,16,464,51,93,314,146,148,778,197,241
CD Castellón,55,27,430,65,33,520,2,5,94,60,63,37,116,64,131,176,127
CD Logroñés,69,15,445,69,15,501,2,4,83,67,67,45,122,50,128,189,117
CD Málaga,52,23,100,62,37,139,2,3,23,16,18,12,29,16,35,45,34
Celta,83,24,1546,85,27,1666,7,7,273,155,192,161,287,172,434,442,364
Cádiz,68,27,672,76,22,791,5,7,121,82,115,75,155,88,196,237,203
Mallorca,69,30,1493,71,33,1650,5,7,294,140,164,150,292,154,444,432,318
Osasuna,59,25,1317,87,22,1577,4,5,274,166,178,136,313,169,410,479,347
R. Sociedad,71,32,1620,76,35,1721,3,6,299,135,180,158,286,170,457,421,350
Rayo Vallecano,73,31,1398,79,25,1437,3,6,247,163,141,134,265,153,381,428,294
Real Madrid,121,53,2646,100,62,2521,4,13,455,70,83,307,149,152,762,219,235
Real Oviedo,54,35,880,65,40,1006,3,5,180,91,125,72,199,125,252,290,250
Real Sporting,63,31,1484,82,13,1690,4,8,289,176,177,157,310,175,446,486,352
Real Valladolid,70,25,1444,88,27,1623,3,7,273,160,193,145,305,176,418,465,369
Real Zaragoza,79,29,1597,81,34,1693,2,6,298,158,172,147,295,186,445,453,358
Sevilla,75,38,1766,80,28,1892,4,7,350,129,135,184,275,155,534,404,290
Tenerife,79,30,1462,81,34,1579,3,6,277,131,198,127,309,169,404,440,367
Valencia,77,37,1851,83,34,1976,1,8,355,110,143,201,242,165,556,352,308
Espanyol,63,27,1464,74,25,1599,5,6,289,164,157,133,301,176,422,465,333
Real Betis,85,33,1614,84,25,1761,5,6,297,147,172,175,268,173,472,415,345
Real Burgos CF,53,29,192,68,26,226,1,3,45,25,25,9,47,39,54,72,64
Albacete,60,21,1204,71,28,1381,3,4,226,152,169,126,265,156,352,417,325
Deportivo,76,31,1591,91,29,1807,7,9,314,127,160,176,248,177,490,375,337
Lleida,66,29,617,80,28,703,2,6,127,69,63,60,120,79,187,189,142
Racing,58,28,1099,75,27,1175,1,7,187,162,138,113,237,137,300,399,275
Compostela,60,35,531,70,44,582,3,3,98,60,63,51,98,72,149,158,135
Mérida CP,58,33,419,79,39,512,4,9,88,35,54,47,77,53,135,112,107
UD Salamanca,72,29,876,71,27,932,3,4,154,110,102,85,168,113,239,278,215
CF Extremadura,60,27,333,79,39,428,1,5,77,38,47,33,78,51,110,116,98
Hércules,82,36,751,78,35,837,3,6,147,84,76,75,137,95,222,221,171
Alavés,62,24,975,82,24,1158,5,7,192,123,117,121,209,102,313,332,219
Villarreal,69,29,1462,77,36,1633,5,8,286,121,146,157,238,158,443,359,304
Málaga,72,24,1076,79,20,1172,2,7,194,131,120,116,207,122,310,338,242
Numancia,68,30,1127,77,29,1251,3,6,224,113,138,96,226,153,320,339,291
Las Palmas,73,24,1298,78,22,1379,3,6,239,123,162,112,248,164,351,371,326
Recreativo,67,34,803,78,33,972,2,6,150,100,118,97,158,113,247,258,231
Real Murcia,62,29,767,79,26,887,2,5,153,88,104,74,169,102,227,257,206
Getafe,58,22,974,76,30,1098,3,4,181,131,132,101,221,120,282,352,252
Levante,63,27,1192,84,26,1316,5,7,224,131,155,113,247,150,337,378,305
Gimnàstic Tarragona,60,30,579,76,28,664,1,4,102,89,80,68,129,74,170,218,154
Almería,73,35,1011,80,30,1100,5,5,190,108,123,97,208,116,287,316,239
Xerez,73,24,684,82,30,793,3,7,129,90,90,73,139,97,202,229,187
Granada,71,29,475,79,20,522,4,4,95,65,51,45,115,51,140,180,102
Elche,67,27,1122,82,26,1272,2,5,206,125,158,119,233,139,325,358,297
Córdoba,59,22,824,71,20,932,1,5,155,115,106,84,183,109,239,298,215
Eibar,56,19,1021,73,23,1324,3,5,213,140,180,108,244,181,321,384,361
Leganés,59,30,744,74,35,892,4,4,137,102,119,84,164,110,221,266,229
Girona,74,34,673,82,37,747,2,5,124,61,80,74,118,73,198,179,153
Huesca,61,31,508,75,27,579,2,5,93,60,70,54,101,68,147,161,138
Atlético B,73,33,270,74,37,268,5,5,45,26,30,25,48,28,70,74,58
Bilbao Ath.,50,33,326,60,32,354,2,4,59,42,53,26,82,46,85,124,99
Palamós,52,29,226,53,38,273,1,3,44,25,45,22,62,30,66,87,75
RM Castilla,80,36,565,65,41,578,4,4,101,64,52,56,106,55,157,170,107
Sabadell,54,30,359,59,32,414,2,4,77,46,54,28,104,45,105,150,99
Sestao Sport Club,36,26,153,49,31,212,2,6,30,28,37,20,50,25,50,78,62
UE Figueres,44,37,165,63,43,207,3,3,38,17,21,15,34,27,53,51,48
Orihuela CF,46,46,46,55,55,55,2,2,10,2,7,2,5,12,12,7,19
Real Avilés,35,31,66,48,36,84,1,3,13,6,19,6,24,8,19,30,27
Barcelona B,85,40,772,71,34,670,3,4,108,83,70,69,123,69,177,206,139
Atlético Marbella,45,28,155,59,21,172,1,3,33,25,18,11,43,22,44,68,40
CD Badajoz,48,32,432,63,38,569,2,7,78,63,80,62,90,69,140,153,149
Lugo,49,23,405,56,32,490,3,4,85,56,63,34,100,70,119,156,133
CD Toledo,54,34,305,65,40,381,2,4,61,42,36,40,57,42,101,99,78
CD Ourense,37,26,133,49,24,144,2,3,24,32,24,10,52,18,34,84,42
Écija Balompié,34,27,61,45,30,75,2,3,12,14,12,7,25,6,19,39,18
Real Jaén,43,30,149,59,42,194,2,3,32,27,25,15,41,28,47,68,53
Mallorca B,52,52,52,46,46,46,2,2,6,6,9,6,14,1,12,20,10
Racing Ferrol,58,40,289,56,37,288,3,4,41,44,41,29,60,37,70,104,78
Universidad LPGC,34,34,34,39,39,39,2,2,5,7,9,3,12,6,8,19,15
Burgos,31,31,31,52,52,52,3,3,4,7,10,8,7,6,12,14,16
Poli Ejido,52,29,279,58,44,358,2,4,62,40,45,28,76,43,90,116,88
Terrassa FC,45,41,131,52,44,146,2,3,24,18,21,11,32,20,35,50,41
Algeciras,39,39,39,33,33,33,2,2,5,9,7,1,12,8,6,21,15
At. Malagueño,46,33,121,49,36,133,2,3,17,23,23,14,32,17,31,55,40
Ciudad de Murcia,53,49,205,72,47,231,3,5,38,21,25,21,34,29,59,55,54
Pontevedra,52,52,52,44,44,44,3,3,6,6,9,4,12,5,10,18,14
Lorca Deportiva,56,37,93,69,37,106,2,5,18,12,12,10,22,10,28,34,22
Ponferradina,57,36,360,66,34,404,3,6,73,40,51,28,86,50,101,126,101
Vecindario,42,42,42,34,34,34,3,3,7,10,4,2,16,3,9,26,7
Granada 74,45,45,45,45,45,45,4,4,7,4,10,3,13,5,10,17,15
Sevilla At.,55,29,156,56,19,160,2,4,25,26,33,11,54,19,36,80,52
Alicante,38,38,38,35,35,35,1,1,2,12,7,6,11,4,8,23,11
FC Cartagena,58,34,177,65,35,196,2,3,33,25,22,18,41,21,51,66,43
Real Unión de Irún,40,40,40,46,46,46,2,2,8,6,7,4,14,3,12,20,10
Villarreal B,60,43,157,61,51,164,3,4,26,20,17,19,32,12,45,52,29
Alcorcón,58,24,491,73,35,623,3,6,108,57,62,58,106,63,166,163,125
Alcoyano,46,46,46,37,37,37,2,2,6,8,7,3,15,3,9,23,10
CD Guadalajara,50,46,96,50,49,99,2,2,16,17,9,10,20,12,26,37,21
Mirandés,55,31,297,59,41,354,3,4,54,38,50,35,70,37,89,108,87
Llagostera,44,41,85,57,44,101,2,3,20,13,9,7,24,11,27,37,20
Reus Deportiu,31,16,78,55,21,128,1,2,15,23,25,15,35,13,30,58,38
UCAM Murcia,42,42,42,48,48,48,2,2,7,8,6,4,8,9,11,16,15
Cultural Leonesa,54,54,54,48,48,48,2,2,9,4,8,2,12,7,11,16,15
Lorca FC,37,37,37,33,33,33,1,1,7,8,6,1,17,3,8,25,9
Extremadura,43,43,86,53,43,96,3,5,13,21,8,11,15,16,24,36,24
Rayo Majadahonda,46,46,46,45,45,45,2,2,8,7,6,4,14,3,12,21,9
Fuenlabrada,47,36,83,60,43,103,2,3,12,8,18,12,13,13,24,21,31
UD Logroñés,25,25,25,39,39,39,6,6,6,7,3,4,8,6,10,15,9
Academico Viseu,76,0,156,138,0,382,0,46,118,42,28,0,0,0,118,42,28
FC Maia,136,34,476,102,0,374,0,34,102,34,68,0,0,0,102,34,68
Uniao Lamas,136,0,238,102,0,238,0,34,68,34,34,0,0,0,68,34,34
SC Freamunde,170,0,370,138,0,450,0,46,140,76,30,0,0,0,140,76,30
SP. Covilhã,68,0,214,102,0,298,24,34,88,72,34,0,0,0,88,72,34
FC Marco,68,0,136,102,0,102,0,34,34,102,0,0,0,0,34,102,0
Ovarense,136,34,272,102,34,238,0,34,68,0,34,0,0,0,68,0,34
Gondomar,102,30,226,102,0,234,0,34,68,30,30,0,0,0,68,30,30
Vizela,150,56,308,102,84,276,28,34,92,0,0,0,0,0,92,0,0
Fatima,60,60,60,90,90,90,30,30,30,0,0,0,0,0,30,0,0
UD Oliveirense,76,0,272,126,0,484,0,42,140,46,64,0,0,0,140,46,64
Benfica II,138,42,464,138,42,480,28,46,132,0,84,0,0,0,132,0,84
Vitória Guimarães B,138,0,138,138,0,180,0,46,46,80,42,0,0,0,46,80,42
Atlético CP,46,42,88,138,126,264,46,46,88,0,0,0,0,0,88,0,0
Marítimo II,42,42,42,126,126,126,42,42,42,0,0,0,0,0,42,0,0
Sporting Braga II,42,38,122,42,0,80,0,0,0,42,80,0,0,0,0,42,80
Porto II,46,38,130,0,0,0,0,0,0,130,0,0,0,0,0,130,0
Sporting CP II,42,0,42,46,0,46,0,0,0,42,46,0,0,0,0,42,46
Cova Piedade,38,0,38,0,0,0,0,0,0,66,0,0,0,0,0,66,0
Real Sport Clube,152,152,152,114,114,114,38,38,38,0,0,0,0,0,38,0,0
Mafra,72,72,72,72,72,72,24,24,24,0,0,0,0,0,24,0,0
Ascoli,64,20,990,62,18,1077,2,5,187,121,146,78,239,136,265,360,282
Atalanta,98,25,1412,81,26,1546,4,9,262,114,161,145,228,164,407,342,325
Bologna,58,28,1065,84,22,1180,4,6,194,134,138,105,218,145,299,352,283
Cesena,66,24,1000,74,22,1092,1,5,187,103,163,72,229,152,259,332,315
Cremonese,63,27,523,70,20,558,2,8,90,74,93,36,133,87,126,207,180
Fiorentina,72,29,1420,74,22,1449,5,6,251,95,150,131,211,153,382,306,303
Genoa,72,27,1446,78,32,1487,5,5,264,131,186,107,286,188,371,417,374
Hellas Verona,67,24,1171,82,25,1294,4,8,225,120,152,103,236,158,328,356,310
Inter,81,28,1628,97,42,1792,11,14,300,71,116,213,137,137,513,208,253
Juventus,86,45,1772,102,50,2026,8,15,357,41,92,238,101,149,595,142,241
